success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,62,30.5,30.125,295.88,0.1018,0.1031,265.79,0.38,1,10,0.1613,0.1613,0,0.0,0.976,0.036,0.025,0.017,mpc,1
False,collision,27,13.0,12.625,295.88,0.0427,0.0439,283.281,0.381,1,5,0.1852,0.1852,0,0.0,0.944,0.068,0.058,0.04,mpc,2
False,collision,314,156.5,156.125,295.88,0.5277,0.5289,140.054,0.291,1,22,0.0701,0.0701,0,0.0,0.995,0.032,0.005,0.003,mpc,3
False,collision,431,215.0,214.62,295.88,0.7254,0.7266,81.842,0.296,1,27,0.0626,0.0718,0,0.0,0.997,0.03,0.003,0.002,mpc,4
False,collision,446,222.5,222.125,295.88,0.7507,0.752,75.162,0.38,1,24,0.0538,0.0538,0,0.0,0.997,0.143,0.003,0.002,mpc,5
False,collision,69,34.0,33.625,295.88,0.1136,0.1149,262.271,0.38,1,14,0.2029,0.2029,0,0.0,0.978,0.025,0.022,0.015,mpc,6
True,goal_reached,600,299.5,296.146,295.88,1.0009,1.0122,0.303,0.446,0,54,0.09,0.0914,0,0.0,0.988,0.035,0.005,0.005,mpc,7
False,collision,432,215.5,215.125,295.88,0.7271,0.7283,81.143,0.136,1,32,0.0741,0.0748,0,0.0,0.997,0.034,0.003,0.002,mpc,8
False,collision,441,220.0,219.625,295.88,0.7423,0.7435,76.59,0.405,1,22,0.0499,0.0519,0,0.0,0.997,0.031,0.003,0.002,mpc,9
False,collision,46,22.5,22.125,295.88,0.0748,0.076,273.793,0.366,1,8,0.1739,0.1739,0,0.0,0.967,0.073,0.033,0.023,mpc,10
