success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,375,187.0,205.48,295.84,0.6946,0.7585,90.955,0.263,1,12,0.032,0.0339,0,0.0,1.097,0.065,0.186,0.582,1,dwa
False,collision,360,179.5,206.67,295.84,0.6986,0.7281,90.038,0.132,1,17,0.0472,0.0472,0,0.0,1.149,0.056,0.12,0.331,2,dwa
False,max_time,841,420.0,171.9,295.84,0.5811,1.7036,124.85,0.489,0,16,0.019,0.0191,0,0.0,0.409,0.044,0.064,0.199,3,dwa
False,collision,375,187.0,208.699,295.84,0.7054,0.7585,90.165,0.167,1,6,0.016,0.0173,0,0.0,1.114,0.073,0.143,0.415,4,dwa
False,max_time,841,420.0,129.43,295.84,0.4375,1.7036,166.672,0.817,0,0,0.0,0.0,0,0.0,0.308,0.037,0.023,0.062,5,dwa
False,collision,380,189.5,205.23,295.84,0.6937,0.7687,91.624,0.16,1,17,0.0447,0.0447,0,0.0,1.081,0.07,0.214,0.661,6,dwa
False,collision,521,260.0,282.757,295.84,0.9558,1.0546,21.091,0.169,1,34,0.0653,0.0653,0,0.0,1.086,0.098,0.135,0.352,7,dwa
False,collision,416,207.5,220.72,295.84,0.7461,0.8417,82.258,0.091,1,28,0.0673,0.072,0,0.0,1.062,0.117,0.141,0.35,8,dwa
False,max_time,841,420.0,168.03,295.84,0.568,1.7036,128.328,0.576,0,18,0.0214,0.0214,0,0.0,0.4,0.038,0.051,0.154,9,dwa
False,collision,372,185.5,210.63,295.84,0.712,0.7524,85.86,0.144,1,20,0.0538,0.0541,0,0.0,1.133,0.062,0.124,0.329,10,dwa
False,collision,383,191.0,215.51,295.84,0.7285,0.7747,80.653,0.13,1,5,0.0131,0.0131,0,0.0,1.126,0.074,0.247,0.875,11,dwa
False,collision,368,183.5,209.68,295.84,0.7088,0.7443,86.742,0.384,1,18,0.0489,0.0522,0,0.0,1.14,0.052,0.102,0.27,12,dwa
False,max_time,841,420.0,135.7,295.84,0.4587,1.7036,160.414,0.769,0,3,0.0036,0.0036,0,0.0,0.323,0.036,0.023,0.064,13,dwa
False,collision,361,180.0,210.05,295.84,0.71,0.7301,86.17,0.199,1,5,0.0139,0.0143,0,0.0,1.165,0.045,0.093,0.241,14,dwa
False,max_time,841,420.0,184.44,295.84,0.6234,1.7036,112.176,0.48,0,29,0.0345,0.0363,0,0.0,0.439,0.045,0.06,0.176,15,dwa
False,collision,413,206.0,223.06,295.84,0.754,0.8356,73.572,0.173,1,21,0.0508,0.0508,0,0.0,1.081,0.081,0.269,0.909,16,dwa
False,collision,403,201.0,217.57,295.84,0.7354,0.8153,79.068,0.332,1,27,0.067,0.067,0,0.0,1.081,0.065,0.197,0.621,17,dwa
False,collision,446,222.5,236.333,295.84,0.7989,0.9025,73.655,0.181,1,31,0.0695,0.0723,0,0.0,1.061,0.152,0.186,0.516,18,dwa
False,collision,386,192.5,209.98,295.84,0.7098,0.7808,86.439,0.303,1,30,0.0777,0.0777,0,0.0,1.089,0.08,0.247,0.802,19,dwa
False,collision,383,191.0,214.227,295.84,0.7241,0.7747,87.639,0.198,1,19,0.0496,0.0531,0,0.0,1.12,0.097,0.141,0.392,20,dwa
False,collision,389,194.0,210.24,295.84,0.7107,0.7869,86.439,0.244,1,8,0.0206,0.0206,0,0.0,1.082,0.084,0.286,0.954,21,dwa
False,collision,514,256.5,232.91,295.84,0.7873,1.0404,87.876,0.267,1,68,0.1323,0.1323,0,0.0,0.907,0.19,0.189,0.486,22,dwa
False,collision,372,185.5,214.03,295.84,0.7235,0.7524,82.142,0.168,1,11,0.0296,0.0296,0,0.0,1.152,0.051,0.108,0.299,23,dwa
False,collision,400,199.5,231.59,295.84,0.7828,0.8092,64.757,0.047,1,17,0.0425,0.0428,0,0.0,1.159,0.045,0.121,0.353,24,dwa
False,collision,405,202.0,232.68,295.84,0.7865,0.8194,64.33,0.338,1,15,0.037,0.0385,0,0.0,1.15,0.057,0.12,0.318,25,dwa
False,collision,381,190.0,212.188,295.84,0.7172,0.7707,89.526,0.326,1,10,0.0262,0.0262,0,0.0,1.115,0.113,0.153,0.419,26,dwa
False,collision,356,177.5,203.61,295.84,0.6882,0.72,93.077,0.389,1,9,0.0253,0.0303,0,0.0,1.145,0.057,0.112,0.288,27,dwa
False,collision,368,183.5,204.21,295.84,0.6903,0.7443,92.205,0.232,1,11,0.0299,0.0299,0,0.0,1.111,0.052,0.16,0.483,28,dwa
